bake temp,chill time,calories,density,quality,weight,nuts,butter type_melted
300,15.0,136.0,0.99367,8,15.2,0,1
520,34.0,113.0,0.99429,7,12.4,0,1
360,33.0,106.0,0.98746,9,9.4,1,1
490,41.0,124.0,0.9963,7,12.2,0,1
770,6.0,33.0,0.9974,5,19.8,1,0
500,23.0,139.0,0.9990399999999999,7,13.2,0,1
410,31.0,102.0,0.99221,9,13.2,0,1
440,30.0,180.0,0.9941,9,15.2,0,1
700,13.0,40.0,0.997,5,14.2,1,0
330,59.0,186.0,0.99754,7,13.8,1,1
300,45.0,197.0,0.9938,9,15.2,0,1
370,32.0,140.0,0.9895,9,12.6,0,1
300,18.0,117.0,0.99116,8,13.8,0,1
500,43.0,163.0,0.9999,7,15.2,0,1
360,34.0,200.0,0.9937,7,13.0,0,1
450,25.0,118.0,0.9922200000000001,8,12.0,1,1
610,20.0,49.0,0.99705,3,14.6,0,0
240,14.0,130.0,0.9918,9,15.2,1,1
500,36.0,140.0,0.9913799999999999,7,15.6,0,1
320,14.0,71.0,0.9891200000000001,9,13.4,0,1
1090,31.0,119.0,0.9980100000000001,5,16.8,1,0
520,48.0,185.0,0.9934,7,12.6,0,1
450,39.0,193.0,0.9986,8,14.8,0,1
420,23.0,218.5,0.9935,7,12.2,0,1
480,35.0,103.0,0.9911,10,13.6,0,1
820,6.0,11.0,0.9953799999999999,6,15.2,1,0
440,31.0,185.0,0.998,8,16.0,0,1
440,16.0,70.0,0.9935200000000001,6,12.2,1,0
290,22.0,104.0,0.9949,7,11.0,0,1
850,9.0,22.0,0.99708,5,18.6,1,0
670,53.0,178.0,0.9976,8,14.8,0,1
550,32.0,197.0,1.0002,8,14.6,0,1
500,23.0,83.0,0.99019,9,13.2,0,1
440,34.0,145.0,0.9945,8,10.6,1,1
570,15.0,26.0,0.9944799999999999,5,12.0,1,0
280,22.0,84.0,0.9940000000000001,8,13.8,0,1
810,17.0,108.0,0.9962,5,15.6,1,0
880,16.0,39.0,0.9961,5,14.0,1,0
510,29.0,149.0,0.99792,9,14.0,0,1
530,51.0,190.0,0.9978,8,13.0,0,1
